Month,North,Central,South,Average,std error
June 13,64.3,78.9,81.5,74.9,5.4
Jul 13,91.3,97,97.1,95.1,1.9
Aug 13,42.5,48.9,38.8,43.4,3.0
Sept 13,19.8,24.5,26,23.4,1.9
Oct 13,40.6,29.3,27.9,32.6,4.0
Nov 13,107.6,93.8,89.4,96.9,5.5
Dec 13,18,16,15.1,16.4,0.9
Jan 14,0,0,0,0.0,0.0
Feb 14,26.5,24,26.5,25.7,0.8
Mar 14,19.4,14.5,15,16.3,1.6
April 14,3.8,3.7,0.9,2.8,1.0
May 14,97.9,84,90.9,90.9,4.0
June 14,40,47.5,52.5,46.7,3.6
Jul 14,9,9,10.5,9.5,0.5
Aug 14,40.4,37.4,34,37.3,1.8
Sept 14,37.3,33.4,37.4,36.0,1.3
Oct 14,58.1,61.3,72.9,64.1,4.5
Nov 14,65,72,67,68.0,2.1
Dec 14,21.7,25.2,24.1,23.7,1.0
Jan 15,7,11,9.5,9.2,1.2
Feb 15,5,6,6.1,5.7,0.4
Mar 15,0,0,0,0.0,0.0
April 15,227.2,217.1,206.9,217.1,5.9
May 15,91.1,95.4,95.2,93.9,1.4
June 15,24.5,27.6,24,25.4,1.1
Jul 15,2,2.4,2.2,2.2,0.1
Aug 15,21.5,19.2,21.9,20.9,0.8
Sept 15,9,9.7,10.3,9.7,0.4
Oct 15,20.8,25,25.8,23.9,1.6
Nov 15,136.4,118.1,111.8,122.1,7.4
Dec 15,47,43.3,42.2,44.2,1.5
Jan 16,34.4,36.4,37,35.9,0.8
Feb 16,0,1,2,1.0,0.6
Mar 16,30.9,17.6,14.2,20.9,5.1
April 16,117.6,113.2,114.8,115.2,1.3
May 16,184.3,185,169.8,179.7,5.0
June 16,32.5,37.9,39.1,36.5,2.0
Jul 16,45.5,47.2,45.7,46.1,0.5
Aug 16,0,0,0,0.0,0.0
Sept 16,0,0,0,0.0,0.0
Oct 16,0,0,0,0.0,0.0
Nov 16,57.2,61.2,58.5,59.0,1.2
Dec 16,0,0,0,0.0,0.0
Jan 17,0,0,0,0.0,0.0
Feb 17,0,0,0,0.0,0.0
Mar 17,36,33,32,33.7,1.2
April 17,14.9,15.3,15.4,15.2,0.2
May 17,46.9,39.4,39.5,41.9,2.5
June 17,17.2,14,15.1,15.4,0.9
Jul 17,107.1,112.2,95.8,105.0,4.8
Aug 17,14.4,13,12.3,13.2,0.6
Sept 17,19.8,26.2,35.3,27.1,4.5
Oct 17,92.5,97,99.3,96.3,2.0
Nov 17,99.6,91.6,88.3,93.2,3.4
Dec 17,0,0,0,0.0,0.0
Jan 18,0,0,0,0.0,0.0
Feb 18,4.1,5.3,5.5,5.0,0.4
Mar 18,141.5,114.5,116.5,124.2,8.7
April 18,160.4,156.2,182.1,166.2,8.0
May 18,101.4,97,107.8,102.1,3.1
June 18,67,61.8,55.9,61.6,3.2
Jul 18,5.4,6,5.2,5.5,0.2
Aug 18,49.5,39,38.4,42.3,3.6
Sept 18,3.2,1.8,1,2.0,0.6
Oct 18,98.9,96.6,91.5,95.7,2.2
Nov 18,38.2,37.5,30.4,35.4,2.5
Dec 18,50.5,46.7,56.2,51.1,2.8
Jan 19,0,0,0,0.0,0.0
Feb 19,0,0,0,0.0,0.0
Mar 19,9.2,9,9.5,9.2,0.1
April 19,141,137,138.3,138.8,1.2
May 19,56.9,61.5,67.6,62.0,3.1
June 19,134,133,137.4,134.8,1.3
Jul 19,55.1,57.3,63.5,58.6,2.5
Aug 19,54,61.5,59.8,58.4,2.3
Sept 19,13,14,16.5,14.5,1.0
Oct 19,143.6,133.3,144.6,140.5,3.6
Nov 19,97,94.2,94.8,95.3,0.9
Dec 19,146.6,166.8,182,165.1,10.3
Jan 20,27.6,33,33.8,31.5,1.9
Feb 20,26.7,28.3,28.5,27.8,0.6
Mar 20,0,0,0,0.0,0.0
April 20,181.5,200,195.3,192.3,5.6
May 20,9,11,15.5,11.8,1.9
June 20,54.5,50,52,52.2,1.3
Jul 20,164,142.4,148.8,151.7,6.4
Aug 20,,,,,
Sept 20,,,,,
Oct 20,,,,,
Nov 20,,,,,
Dec 20,,,,,
