,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
7,I,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
7,J,,,5,,,,2,,1,,,,,,,,,,,,,,,,,,,,,
8,J,,,2,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,
8,I,,,2,,,3,,,,,,,2,,,,,,,,,,,,,,,,,
8,H,,,,,3,,,1,,,,,,,,,,,2,,,,,,,,,,,
8,G,,,2,,,4,,,,,,,,,,,,,1,,,,,,,,,,,
8,F,,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,D,,,1,,1,3,,,,,,,,2,,,,,,,,,,,,,,,,
8,C,,,2,1,1,3,,,1,,,,,,,,,,,,,,,,,,,,,
8,B,,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
8,A,,,1,,,1,,,,,,,,,3,,,,,,,,,,,,,,,
9,A,,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
9,B,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
9,C,,,,,7,3,,,,,,,2,,,,,,,,,,,,,,,,,
9,D,,,,,2,2,,,4,,,,,1,,,,,,,,,,,,,,,,
9,E,,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,
9,F,,,5,,,4,,,,,,,2,,,,,,,,,,,,,,,,,
9,G,,,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,
9,H,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,
9,I,,,4,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
9,J,,,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,J,,,5,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
10,I,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,
10,H,,,2,2,,1,,,,,,,3,,,,,,,,,,,,,,,,,
10,G,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
10,F,,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
10,E,,,3,,2,1,1,,,,,,,,,,,,,,,,,,,,,1,,
10,D,,,,4,,2,,,,,,,1,,,,,,,,,,,,,,,,,
10,C,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,
10,B,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,,,,3,2,,,,,0,0,,,,,0,0,0,2,0,0,0,0,0,0,,,,0,
,,,,216,85,65,133,73,4,34,0,0,5,24,3,6,0,0,0,15,0,0,0,0,0,0,1,1,2,0,
% cover,,,,21.6,20.9,24.0,13.3,7.3,0.4,3.4,0.0,0.0,0.5,2.4,0.3,0.6,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,96.60
Rel. Cov.,,,,22.36024845,21.63561077,24.8447205,13.76811594,7.556935818,0.414078675,3.519668737,0,0,0.517598344,2.48447205,0.310559006,0.621118012,0,0,0,1.552795031,0,0,0,0,0,0,0.103519669,0.103519669,0.207039337,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,1,1,,1,,1,,,,,,,1,,,,,,,,,,,,,,,
1,B,Y,N,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
1,C,Y,N,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
1,D,Y,Y,,1,,1,,1,,,,,1,,,,,,1,,,,,,,,,1,,
1,E,Y,Y,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,
1,F,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,G,Y,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,Y,N,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,
1,I,Y,N,1,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
1,J,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
2,J,Y,N,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
2,I,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2,H,Y,N,1,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,
