,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
7,B,,,1,6,,2,,,,,,1,,,,,,,,,,,,,,,,,,
7,A,,,5,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
8,A,,,,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,
8,B,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,
8,C,,,,1,,1,3,,1,,,,,,,,,,,,,2,,,,,,,,
8,D,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
8,G,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
8,H,,,5,2,3,2,,,,,,,1,,,,,,,,,,,,,,,,,
8,I,,,1,,,3,,,,,,,4,,,,,,,,,,,,,,,,,
8,J,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,2,,
9,J,,,,2,1,,2,,,,,,3,,,,,,,,,,,,,,,,,
9,I,,,8,,,2,,,,,,,2,,,,,,,,,,,,,,,,,
9,H,,,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
9,G,,,4,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
9,F,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,
9,E,,,,,,2,3,,4,,,,,,,,,,,,,,,,,,,,,
9,D,,,1,,,4,,1,2,,,,,,,,,,,,,,,,,,,,,
9,C,,,4,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,
9,B,,,,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,
9,A,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,,,2,3,,3,,,,,,,,,,,,,1,,,,,,,,,,,
10,B,,,,,4,2,,,,,,,,,,,,,1,,,,,,,,,,,
10,C,,,,,4,3,,,1,,,,2,,,,,,,,,,,,,,,,,
10,D,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,E,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,
10,F,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,
10,G,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
10,H,,,1,4,,,,,3,,,,,,,,,,,,,,,,,,,,,
10,I,,,1,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,
10,J,,,4,6,,,,,1,0,0,,,0,,0,0,0,,0,0,,0,0,0,,0,,0,
,,,,208,171,54,147,65,5,41,0,0,8,37,0,6,0,0,0,14,0,0,2,0,0,0,2,0,3,0,
% cover,,,,20.8,20.9,24.0,14.7,6.5,0.5,4.1,0.0,0.0,0.8,3.7,0.0,0.6,0.0,0.0,0.0,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.3,0.0,98.70
Rel. Cov.,,,,21.0739615,21.17527862,24.31610942,14.89361702,6.585612969,0.506585613,4.154002026,0,0,0.810536981,3.748733536,0,0.607902736,0,0,0,1.418439716,0,0,0.202634245,0,0,0,0.202634245,0,0.303951368,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,N-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
1,B,Y,N,,1,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,
1,C,Y,Y,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
1,D,Y,N,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
1,E,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,F,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
1,G,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,H,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,I,Y,N,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,J,Y,Y,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,
2,J,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,I,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,H,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,G,Y,N,,1,,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,
2,F,Y,N,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,
2,E,Y,N,1,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,
2,D,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,1,,,,
2,C,Y,N,,,,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,
2,B,Y,N,1,1,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,
2,A,Y,N,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
3,A,Y,N,1,1,,1,,,,,,1,,,,,,,1,,,,,,,,,,,
3,B,Y,N,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
3,C,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
3,D,Y,N,1,,,1,,1,1,,,,1,,,,,,1,,,,,,,,,,,
3,E,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,F,Y,N,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
3,G,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,H,Y,N,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,
3,I,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
3,J,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,J,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
4,I,Y,N,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,H,Y,N,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
4,G,Y,N,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,
4,F,Y,N,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,
4,E,Y,N,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
4,D,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
4,C,Y,N,,1,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,
4,B,Y,N,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
4,A,Y,N,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,A,Y,N,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
5,B,Y,N,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
5,C,Y,N,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
5,D,Y,Y,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,
5,E,Y,Y,,,,1,1,,,,,,1,,,,,,,,,,,,,1,,,,
5,F,Y,N,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,
5,G,Y,N,1,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
5,H,Y,N,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
5,I,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
5,J,Y,Y,,,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,
6,A,Y,N,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,B,Y,N,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
6,C,Y,N,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,
6,D,Y,N,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
6,E,Y,N,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
6,F,Y,N,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
6,G,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,H,Y,N,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
6,I,Y,N,,1,1,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,
6,J,Y,N,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,
7,J,Y,N,1,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
7,I,Y,N,1,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
7,H,Y,N,1,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,
7,G,Y,N,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
7,F,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,E,Y,N,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7,D,Y,N,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,C,Y,N,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
7,B,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
7,A,Y,N,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,
8,A,Y,N,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
8,B,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
8,C,Y,N,,1,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,
8,D,Y,N,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
8,E,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
8,F,Y,N,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
8,G,Y,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
8,H,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
8,I,Y,N,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
8,J,Y,N,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,
9,J,Y,N,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
9,I,Y,N,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,
