,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
7,B,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
7,A,,,,2,,,,,1,,,,3,,,,,,,,,,,,,,,,,
8,A,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,
8,B,,,3,,,1,1,1,,,,,,,2,,,,,,,,,,,,,,,
8,C,,,4,,,2,,,,,,,1,,,,,,,,,,,,,,,,,
8,D,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
8,G,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,
8,H,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,I,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,J,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,
9,J,,,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,
9,I,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
9,H,,,,2,,,,,,,,,3,,,,,,1,,,,,,,,,,,
9,G,,,3,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,
9,F,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E,,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
9,D,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
9,C,,,,1,,3,,,,,,,,,2,,,,,,,,,,,,,,,
9,B,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
9,A,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,,,1,,2,2,,,,,,,3,,,,,,,,,,,,,,,,,
10,B,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,
10,C,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,,,3,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,
10,E,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,
10,F,,,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,
10,G,,,,2,4,,1,,,,,,,,,,,,,,,,,,,,,,,
10,H,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,I,,,3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
10,J,,,,1,2,3,,,,,0,0,1,0,,0,0,0,,0,0,,0,0,0,0,0,,0,
,,,,95,117,76,151,22,4,19,1,0,0,86,0,7,0,0,0,14,0,0,1,0,0,0,0,0,2,0,
% cover,,,,9.5,20.9,24.0,15.1,2.2,0.4,1.9,0.1,0.0,0.0,8.6,0.0,0.7,0.0,0.0,0.0,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,85.10
Rel. Cov.,,,,11.16333725,24.55934195,28.20211516,17.74383079,2.58519389,0.470035253,2.23266745,0.117508813,0,0,10.10575793,0,0.822561692,0,0,0,1.645123384,0,0,0.117508813,0,0,0,0,0,0.235017626,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,1,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,
1,B,Y,N,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
1,C,Y,N,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,D,Y,N,,,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,
1,E,Y,N,,,1,1,,1,,,,,1,,,,,,1,,,,,,,,,1,,
1,F,Y,N,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,
1,G,Y,N,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
1,H,Y,N,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,
1,I,Y,N,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
1,J,Y,N,1,1,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,
2,J,Y,N,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,
2,I,Y,N,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,
2,H,Y,N,,,,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,
2,G,Y,Y,,1,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,,
2,F,Y,N,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
2,E,Y,N,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
2,D,Y,N,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,
2,C,Y,N,,1,,1,,1,,,,,1,,,,,,1,,,,,,,,,1,,
2,B,Y,N,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
2,A,Y,N,,1,,1,1,,,,,,1,,,,,,1,,,,,,,,,,,
3,A,Y,N,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,
3,B,Y,N,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
3,C,Y,Y,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
3,D,Y,N,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
3,E,Y,N,1,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,
3,F,Y,N,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
3,G,Y,N,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,
3,H,Y,N,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,
3,I,Y,N,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,
3,J,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,
4,J,Y,N,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
4,I,Y,N,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
4,H,Y,N,1,1,,1,,1,,1,,,1,,,,,,1,,,,,,,,,,,
4,G,Y,N,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,
4,F,Y,N,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
4,E,Y,N,1,1,,1,,1,1,,,,1,,,,,,,,,,,1,,,,,,
4,D,Y,N,,,1,1,,1,,,,,1,,,,,,1,,,,,,,,,1,,
4,C,Y,N,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
4,B,Y,N,1,,,1,,1,1,,,,1,,,,,,,,,,,,,,,1,,
4,A,Y,N,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
5,A,Y,N,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
5,B,Y,N,1,1,,1,1,,1,,,,1,,,,,,1,,,1,,,,,,,,
5,C,Y,N,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
5,D,Y,N,,1,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,
5,E,Y,N,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,1,,
5,F,Y,N,,,,1,1,,,1,,,1,,1,,,,,,,,,,,,,1,,
5,G,Y,N,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
