"Station","Location","Disturbance","Mound.5m","Species","Sp_Pin_Hits","Treatment","Block","Date"
1,"D",NA,NA,"Discoriste",NA,"C","N",20000201
1,"D",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"D",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"D",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"D",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"D",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"D",NA,NA,"Misopates",NA,"C","N",20000201
1,"D",NA,NA,"Monechima",NA,"C","N",20000201
1,"D",NA,NA,"Monsonia",NA,"C","N",20000201
1,"D",NA,NA,"Pavonia",NA,"C","N",20000201
1,"D",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"D",NA,NA,"Polygala",NA,"C","N",20000201
1,"D",NA,NA,"Portulaca",NA,"C","N",20000201
1,"D",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"D",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"D",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"D",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"D",NA,NA,"Lipia",NA,"C","N",20000201
1,"E",NA,NA,"Themeda",NA,"C","N",20000201
1,"E",NA,NA,"P.mezianum",3,"C","N",20000201
1,"E",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"E",NA,NA,"Lintonia",2,"C","N",20000201
1,"E",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"E",NA,NA,"Aerva",NA,"C","N",20000201
1,"E",NA,NA,"Aspilia",NA,"C","N",20000201
1,"E",NA,NA,"Commelina",NA,"C","N",20000201
1,"E",NA,NA,"Conyza",NA,"C","N",20000201
1,"E",NA,NA,"Discoriste",1,"C","N",20000201
1,"E",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"E",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"E",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"E",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"E",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"E",NA,NA,"Misopates",NA,"C","N",20000201
1,"E",NA,NA,"Monechima",NA,"C","N",20000201
1,"E",NA,NA,"Monsonia",NA,"C","N",20000201
1,"E",NA,NA,"Pavonia",NA,"C","N",20000201
1,"E",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"E",NA,NA,"Polygala",NA,"C","N",20000201
1,"E",NA,NA,"Portulaca",NA,"C","N",20000201
1,"E",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"E",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"E",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"E",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"E",NA,NA,"Lipia",NA,"C","N",20000201
1,"F",NA,NA,"Themeda",NA,"C","N",20000201
1,"F",NA,NA,"P.mezianum",2,"C","N",20000201
1,"F",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"F",NA,NA,"Lintonia",2,"C","N",20000201
1,"F",NA,NA,"Brachiaria",1,"C","N",20000201
1,"F",NA,NA,"Aerva",1,"C","N",20000201
1,"F",NA,NA,"Aspilia",NA,"C","N",20000201
1,"F",NA,NA,"Commelina",NA,"C","N",20000201
1,"F",NA,NA,"Conyza",NA,"C","N",20000201
1,"F",NA,NA,"Discoriste",NA,"C","N",20000201
1,"F",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"F",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"F",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"F",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"F",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"F",NA,NA,"Misopates",NA,"C","N",20000201
1,"F",NA,NA,"Monechima",NA,"C","N",20000201
1,"F",NA,NA,"Monsonia",NA,"C","N",20000201
1,"F",NA,NA,"Pavonia",NA,"C","N",20000201
1,"F",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"F",NA,NA,"Polygala",NA,"C","N",20000201
1,"F",NA,NA,"Portulaca",NA,"C","N",20000201
1,"F",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"F",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"F",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"F",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"F",NA,NA,"Lipia",NA,"C","N",20000201
1,"G",NA,NA,"Themeda",2,"C","N",20000201
1,"G",NA,NA,"P.mezianum",1,"C","N",20000201
1,"G",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"G",NA,NA,"Lintonia",1,"C","N",20000201
1,"G",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"G",NA,NA,"Aerva",NA,"C","N",20000201
1,"G",NA,NA,"Aspilia",NA,"C","N",20000201
1,"G",NA,NA,"Commelina",NA,"C","N",20000201
1,"G",NA,NA,"Conyza",NA,"C","N",20000201
1,"G",NA,NA,"Discoriste",NA,"C","N",20000201
1,"G",NA,NA,"Helichrysum",3,"C","N",20000201
1,"G",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"G",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"G",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"G",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"G",NA,NA,"Misopates",NA,"C","N",20000201
1,"G",NA,NA,"Monechima",NA,"C","N",20000201
1,"G",NA,NA,"Monsonia",NA,"C","N",20000201
1,"G",NA,NA,"Pavonia",NA,"C","N",20000201
1,"G",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"G",NA,NA,"Polygala",NA,"C","N",20000201
1,"G",NA,NA,"Portulaca",NA,"C","N",20000201
1,"G",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"G",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"G",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"G",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"G",NA,NA,"Lipia",NA,"C","N",20000201
1,"H",NA,NA,"Themeda",NA,"C","N",20000201
1,"H",NA,NA,"P.mezianum",1,"C","N",20000201
1,"H",NA,NA,"P.stramineum",2,"C","N",20000201
1,"H",NA,NA,"Lintonia",3,"C","N",20000201
1,"H",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"H",NA,NA,"Aerva",NA,"C","N",20000201
1,"H",NA,NA,"Aspilia",NA,"C","N",20000201
1,"H",NA,NA,"Commelina",NA,"C","N",20000201
1,"H",NA,NA,"Conyza",NA,"C","N",20000201
1,"H",NA,NA,"Discoriste",NA,"C","N",20000201
1,"H",NA,NA,"Helichrysum",3,"C","N",20000201
1,"H",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"H",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"H",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"H",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"H",NA,NA,"Misopates",NA,"C","N",20000201
1,"H",NA,NA,"Monechima",NA,"C","N",20000201
1,"H",NA,NA,"Monsonia",NA,"C","N",20000201
1,"H",NA,NA,"Pavonia",NA,"C","N",20000201
1,"H",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"H",NA,NA,"Polygala",NA,"C","N",20000201
1,"H",NA,NA,"Portulaca",NA,"C","N",20000201
1,"H",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"H",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"H",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"H",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"H",NA,NA,"Lipia",NA,"C","N",20000201
1,"I",NA,NA,"Themeda",2,"C","N",20000201
1,"I",NA,NA,"P.mezianum",5,"C","N",20000201
1,"I",NA,NA,"P.stramineum",3,"C","N",20000201
1,"I",NA,NA,"Lintonia",NA,"C","N",20000201
1,"I",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"I",NA,NA,"Aerva",NA,"C","N",20000201
1,"I",NA,NA,"Aspilia",NA,"C","N",20000201
1,"I",NA,NA,"Commelina",NA,"C","N",20000201
1,"I",NA,NA,"Conyza",NA,"C","N",20000201
1,"I",NA,NA,"Discoriste",NA,"C","N",20000201
1,"I",NA,NA,"Helichrysum",NA,"C","N",20000201
1,"I",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"I",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"I",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"I",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"I",NA,NA,"Misopates",NA,"C","N",20000201
1,"I",NA,NA,"Monechima",NA,"C","N",20000201
1,"I",NA,NA,"Monsonia",NA,"C","N",20000201
1,"I",NA,NA,"Pavonia",NA,"C","N",20000201
1,"I",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"I",NA,NA,"Polygala",NA,"C","N",20000201
1,"I",NA,NA,"Portulaca",NA,"C","N",20000201
1,"I",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"I",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"I",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"I",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"I",NA,NA,"Lipia",NA,"C","N",20000201
1,"J",NA,NA,"Themeda",NA,"C","N",20000201
1,"J",NA,NA,"P.mezianum",NA,"C","N",20000201
1,"J",NA,NA,"P.stramineum",NA,"C","N",20000201
1,"J",NA,NA,"Lintonia",1,"C","N",20000201
1,"J",NA,NA,"Brachiaria",NA,"C","N",20000201
1,"J",NA,NA,"Aerva",1,"C","N",20000201
1,"J",NA,NA,"Aspilia",NA,"C","N",20000201
1,"J",NA,NA,"Commelina",NA,"C","N",20000201
1,"J",NA,NA,"Conyza",NA,"C","N",20000201
1,"J",NA,NA,"Discoriste",NA,"C","N",20000201
1,"J",NA,NA,"Helichrysum",1,"C","N",20000201
1,"J",NA,NA,"Hibiscus",NA,"C","N",20000201
1,"J",NA,NA,"Indigofera_sch",NA,"C","N",20000201
1,"J",NA,NA,"Indigofera_brev",NA,"C","N",20000201
1,"J",NA,NA,"Kyllinger",NA,"C","N",20000201
1,"J",NA,NA,"Misopates",NA,"C","N",20000201
1,"J",NA,NA,"Monechima",2,"C","N",20000201
1,"J",NA,NA,"Monsonia",NA,"C","N",20000201
1,"J",NA,NA,"Pavonia",NA,"C","N",20000201
1,"J",NA,NA,"Phyllanthus",NA,"C","N",20000201
1,"J",NA,NA,"Polygala",NA,"C","N",20000201
1,"J",NA,NA,"Portulaca",NA,"C","N",20000201
1,"J",NA,NA,"Rhinacanthus",NA,"C","N",20000201
1,"J",NA,NA,"Rhynchosia",NA,"C","N",20000201
1,"J",NA,NA,"Solanum_big",NA,"C","N",20000201
1,"J",NA,NA,"Solanum_small",NA,"C","N",20000201
1,"J",NA,NA,"Lipia",NA,"C","N",20000201
2,"J",NA,NA,"Themeda",NA,"C","N",20000201
2,"J",NA,NA,"P.mezianum",1,"C","N",20000201
2,"J",NA,NA,"P.stramineum",1,"C","N",20000201
2,"J",NA,NA,"Lintonia",NA,"C","N",20000201
2,"J",NA,NA,"Brachiaria",NA,"C","N",20000201
2,"J",NA,NA,"Aerva",NA,"C","N",20000201
2,"J",NA,NA,"Aspilia",NA,"C","N",20000201
2,"J",NA,NA,"Commelina",NA,"C","N",20000201
2,"J",NA,NA,"Conyza",NA,"C","N",20000201
2,"J",NA,NA,"Discoriste",NA,"C","N",20000201
2,"J",NA,NA,"Helichrysum",2,"C","N",20000201
2,"J",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"J",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"J",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"J",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"J",NA,NA,"Misopates",NA,"C","N",20000201
2,"J",NA,NA,"Monechima",NA,"C","N",20000201
2,"J",NA,NA,"Monsonia",NA,"C","N",20000201
2,"J",NA,NA,"Pavonia",NA,"C","N",20000201
2,"J",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"J",NA,NA,"Polygala",NA,"C","N",20000201
2,"J",NA,NA,"Portulaca",NA,"C","N",20000201
2,"J",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"J",NA,NA,"Rhynchosia",NA,"C","N",20000201
2,"J",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"J",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"J",NA,NA,"Lipia",NA,"C","N",20000201
2,"I",NA,NA,"Themeda",NA,"C","N",20000201
2,"I",NA,NA,"P.mezianum",2,"C","N",20000201
2,"I",NA,NA,"P.stramineum",3,"C","N",20000201
2,"I",NA,NA,"Lintonia",3,"C","N",20000201
2,"I",NA,NA,"Brachiaria",NA,"C","N",20000201
2,"I",NA,NA,"Aerva",NA,"C","N",20000201
2,"I",NA,NA,"Aspilia",NA,"C","N",20000201
2,"I",NA,NA,"Commelina",NA,"C","N",20000201
2,"I",NA,NA,"Conyza",NA,"C","N",20000201
2,"I",NA,NA,"Discoriste",NA,"C","N",20000201
2,"I",NA,NA,"Helichrysum",6,"C","N",20000201
2,"I",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"I",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"I",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"I",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"I",NA,NA,"Misopates",NA,"C","N",20000201
2,"I",NA,NA,"Monechima",NA,"C","N",20000201
2,"I",NA,NA,"Monsonia",NA,"C","N",20000201
2,"I",NA,NA,"Pavonia",NA,"C","N",20000201
2,"I",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"I",NA,NA,"Polygala",NA,"C","N",20000201
2,"I",NA,NA,"Portulaca",NA,"C","N",20000201
2,"I",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"I",NA,NA,"Rhynchosia",NA,"C","N",20000201
2,"I",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"I",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"I",NA,NA,"Lipia",NA,"C","N",20000201
2,"H",NA,NA,"Themeda",NA,"C","N",20000201
2,"H",NA,NA,"P.mezianum",1,"C","N",20000201
2,"H",NA,NA,"P.stramineum",4,"C","N",20000201
2,"H",NA,NA,"Lintonia",NA,"C","N",20000201
2,"H",NA,NA,"Brachiaria",NA,"C","N",20000201
2,"H",NA,NA,"Aerva",NA,"C","N",20000201
2,"H",NA,NA,"Aspilia",NA,"C","N",20000201
2,"H",NA,NA,"Commelina",NA,"C","N",20000201
2,"H",NA,NA,"Conyza",NA,"C","N",20000201
2,"H",NA,NA,"Discoriste",NA,"C","N",20000201
2,"H",NA,NA,"Helichrysum",3,"C","N",20000201
2,"H",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"H",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"H",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"H",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"H",NA,NA,"Misopates",NA,"C","N",20000201
2,"H",NA,NA,"Monechima",1,"C","N",20000201
2,"H",NA,NA,"Monsonia",NA,"C","N",20000201
2,"H",NA,NA,"Pavonia",NA,"C","N",20000201
2,"H",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"H",NA,NA,"Polygala",NA,"C","N",20000201
2,"H",NA,NA,"Portulaca",NA,"C","N",20000201
2,"H",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"H",NA,NA,"Rhynchosia",NA,"C","N",20000201
2,"H",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"H",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"H",NA,NA,"Lipia",NA,"C","N",20000201
2,"G",NA,NA,"Themeda",NA,"C","N",20000201
2,"G",NA,NA,"P.mezianum",NA,"C","N",20000201
2,"G",NA,NA,"P.stramineum",6,"C","N",20000201
2,"G",NA,NA,"Lintonia",2,"C","N",20000201
2,"G",NA,NA,"Brachiaria",NA,"C","N",20000201
2,"G",NA,NA,"Aerva",NA,"C","N",20000201
2,"G",NA,NA,"Aspilia",NA,"C","N",20000201
2,"G",NA,NA,"Commelina",NA,"C","N",20000201
2,"G",NA,NA,"Conyza",NA,"C","N",20000201
2,"G",NA,NA,"Discoriste",NA,"C","N",20000201
2,"G",NA,NA,"Helichrysum",NA,"C","N",20000201
2,"G",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"G",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"G",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"G",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"G",NA,NA,"Misopates",NA,"C","N",20000201
2,"G",NA,NA,"Monechima",1,"C","N",20000201
2,"G",NA,NA,"Monsonia",NA,"C","N",20000201
2,"G",NA,NA,"Pavonia",NA,"C","N",20000201
2,"G",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"G",NA,NA,"Polygala",NA,"C","N",20000201
2,"G",NA,NA,"Portulaca",NA,"C","N",20000201
2,"G",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"G",NA,NA,"Rhynchosia",NA,"C","N",20000201
2,"G",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"G",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"G",NA,NA,"Lipia",NA,"C","N",20000201
2,"F",NA,NA,"Themeda",4,"C","N",20000201
2,"F",NA,NA,"P.mezianum",NA,"C","N",20000201
2,"F",NA,NA,"P.stramineum",NA,"C","N",20000201
2,"F",NA,NA,"Lintonia",2,"C","N",20000201
2,"F",NA,NA,"Brachiaria",NA,"C","N",20000201
2,"F",NA,NA,"Aerva",NA,"C","N",20000201
2,"F",NA,NA,"Aspilia",NA,"C","N",20000201
2,"F",NA,NA,"Commelina",NA,"C","N",20000201
2,"F",NA,NA,"Conyza",NA,"C","N",20000201
2,"F",NA,NA,"Discoriste",NA,"C","N",20000201
2,"F",NA,NA,"Helichrysum",NA,"C","N",20000201
2,"F",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"F",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"F",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"F",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"F",NA,NA,"Misopates",NA,"C","N",20000201
2,"F",NA,NA,"Monechima",1,"C","N",20000201
2,"F",NA,NA,"Monsonia",NA,"C","N",20000201
2,"F",NA,NA,"Pavonia",NA,"C","N",20000201
2,"F",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"F",NA,NA,"Polygala",NA,"C","N",20000201
2,"F",NA,NA,"Portulaca",NA,"C","N",20000201
2,"F",NA,NA,"Rhinacanthus",NA,"C","N",20000201
2,"F",NA,NA,"Rhynchosia",NA,"C","N",20000201
2,"F",NA,NA,"Solanum_big",NA,"C","N",20000201
2,"F",NA,NA,"Solanum_small",NA,"C","N",20000201
2,"F",NA,NA,"Lipia",NA,"C","N",20000201
2,"E",NA,NA,"Themeda",1,"C","N",20000201
2,"E",NA,NA,"P.mezianum",NA,"C","N",20000201
2,"E",NA,NA,"P.stramineum",NA,"C","N",20000201
2,"E",NA,NA,"Lintonia",NA,"C","N",20000201
2,"E",NA,NA,"Brachiaria",3,"C","N",20000201
2,"E",NA,NA,"Aerva",NA,"C","N",20000201
2,"E",NA,NA,"Aspilia",NA,"C","N",20000201
2,"E",NA,NA,"Commelina",NA,"C","N",20000201
2,"E",NA,NA,"Conyza",NA,"C","N",20000201
2,"E",NA,NA,"Discoriste",NA,"C","N",20000201
2,"E",NA,NA,"Helichrysum",NA,"C","N",20000201
2,"E",NA,NA,"Hibiscus",NA,"C","N",20000201
2,"E",NA,NA,"Indigofera_sch",NA,"C","N",20000201
2,"E",NA,NA,"Indigofera_brev",NA,"C","N",20000201
2,"E",NA,NA,"Kyllinger",NA,"C","N",20000201
2,"E",NA,NA,"Misopates",NA,"C","N",20000201
2,"E",NA,NA,"Monechima",NA,"C","N",20000201
2,"E",NA,NA,"Monsonia",NA,"C","N",20000201
2,"E",NA,NA,"Pavonia",NA,"C","N",20000201
2,"E",NA,NA,"Phyllanthus",NA,"C","N",20000201
2,"E",NA,NA,"Polygala",NA,"C","N",20000201
2,"E",NA,NA,"Portulaca",NA,"C","N",20000201
