,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
7,I,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,5,
7,J,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,5,
8,J,,,,,,1,2,,3,,,,1,,,,,,,,,,,,,,,,4,
8,I,,,,6,,,,,,,,,2,,,,,,,,,,,,,,,,4,
8,H,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,3,
8,G,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,3,
8,F,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,
8,E,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,7,
8,D,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,4,
8,C,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,2,
8,B,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
8,A,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
9,A,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,
9,B,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,6,
9,C,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,
9,D,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,2,
9,E,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,5,
9,F,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,5,
9,G,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,
9,H,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9,I,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,
9,J,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,5,
10,J,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,
10,I,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,3,
10,H,,,2,2,,,,,,,,,1,,,,,,,,,,,,,,,,6,
10,G,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,1,
10,F,,,2,4,,,2,,,,,,,,,,,,,,,,,,,,,,3,
10,E,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
10,D,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,7,
10,C,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,7,
10,B,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,5,
10,A,,,,,3,,,,,,0,,,1,0,0,0,0,,0,0,0,0,0,0,0,0,,7,
,,,,134,104,104,37,76,5,26,1,0,5,9,5,0,0,0,0,4,0,0,0,0,0,0,0,0,11,494,
Mean,,,,13.4,10.4,10.4,3.7,7.6,0.5,2.6,0.1,0,0.5,0.9,0.5,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.1,49.4,101.5
Rel. Cov.,,,,13.20197044,10.24630542,10.24630542,3.645320197,7.487684729,0.492610837,2.561576355,0.098522167,0,0.492610837,0.886699507,0.492610837,0,0,0,0,0.39408867,0,0,0,0,0,0,0,0,1.083743842,48.66995074,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,B,Y,N,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,
1,C,Y,N,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,1,,
1,D,Y,Y,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,
1,E,Y,Y,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
1,F,Y,N,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,
1,G,Y,N,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,H,Y,N,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
1,I,Y,N,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,J,Y,N,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
2,J,Y,N,,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,1,,
2,I,Y,N,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2,H,Y,N,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,
2,G,Y,N,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,
