,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
7,B,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,5,
7,A,,,,,2,,,,,,,,5,1,,,,,,,,,,,,,,,2,
8,A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,
8,B,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,4,
8,C,,,4,,5,,,,,,,,2,,,,,,,,,,,,,,,,2,
8,D,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
8,E,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,6,
8,F,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,,4,
8,G,,,3,2,,3,,,,,,,,,,,,,,,,,,,,,,,2,
8,H,,,,1,6,,,,3,,,,,,,,,,,,,,,,,,,,2,
8,I,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,6,
8,J,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,6,
9,J,,,,2,,1,,,3,,,,,,,,,,,,,,,,,,,,4,
9,I,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,5,
9,H,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,6,
9,G,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,5,
9,F,,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,5,
9,E,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,5,
9,D,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
9,C,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
9,B,,,3,,2,,,,,,,,1,,,,,,,,,,,,,,,,4,
9,A,,,,,2,3,,,,,,,2,,,,,,,,,,,,,,,,3,
10,A,,,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,3,
10,B,,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,2,
10,C,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,2,
10,D,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,2,
10,E,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
10,F,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,4,
