,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C - W,,,,,,,,,,,,NOTE:  THIS DATA SHEET WAS SO FAINT THAT SOME OF THE NUMBERS MIGHT BE WRONG!!!!!!  CHECK FROM MASTER!,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,,5,2,,,,,,,,,,,,,1,,,,,,,,,,2,
1,B,,,1,7,,,,1,,,,,,,,,,,,,,,,,,,,,2,
1,C,,,,2,5,,3,,,,,,,,,,,,,,,,,,,,,,1,
1,D,,,2,,8,,,,,,,1,,,,,,,,,,,,,,,,,,
1,E,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,,,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,1,
1,G,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,
1,H,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,3,
1,I,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,
1,J,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,
2,J,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,1,3,
2,I,,,3,2,4,,1,,,,,,,,,,,,,,,,,,,,,,3,
2,H,,,2,,2,1,,1,,,,,1,,,,,,,,,,,,,,,,4,
2,G,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,4,
2,F,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,3,
2,E,,,,,5,2,,,,,,2,,,,,,,,,,,,,,,,,2,
2,D,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
2,C,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,
2,B,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,3,
2,A,,,,,4,,4,,,,,,,,3,,,,,,,,,,,,,,1,
3,A,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,1,
3,B,,,4,,1,2,,,,,,,,,2,,,,,,,,,,,,,,2,
3,C,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,1,
3,D,,,,7,,,2,,,,,4,,,,,,,,,,,,,,,,,1,
3,E,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,2,
3,F,,,,6,,2,,,,,,1,,,,,,,,,,,,,,,,,3,
3,G,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,
3,H,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
3,I,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,5,
3,J,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,,
4,J,,,3,,4,,,,,,,2,,,,,,,,,,,,,,,,,5,
4,I,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,3,
4,H,,,,,5,,1,,,,,3,,,,,,,,,,,,,,,,,1,
4,G,,,4,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,
4,F,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,5,
4,E,,,,,4,1,,,,,,4,,,,,,,,,,,,,,,,,1,
4,D,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,4,
4,C,,,6,4,,,1,,,,,,,,,,,,,,,,,,,,,,2,
4,B,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,3,
4,A,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,2,
5,A,,,,,3,4,,,,,,3,,,,,,,,,,,,,,,,,3,
5,B,,,,,,4,,,1,,,,,,,,,,1,,,,,,,,,,4,
5,C,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,4,
5,D,,,,,7,2,,,,,,,,,,,,,1,,,,,,,,,,1,
5,E,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
5,F,,,6,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,
5,G,,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,
5,H,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,2,
5,I,,,,2,1,3,,,,,,,,,,,,,,,,,,,,2,,,3,
5,J,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,4,
6,A,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,B,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
6,C,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,4,
6,D,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
6,E,,,2,,7,,2,,,,,,,,,,,,1,,,,,,,,,,1,
6,F,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,3,
6,G,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,2,
6,H,,,,7,,2,1,,,,,,,,,,,,,,,,,,,,,,1,
6,I,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,3,
6,J,,,1,2,,1,2,1,1,,,1,,,,,,,,,,,,,,,,,2,
7,J,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,
7,I,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,8,
