,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
7,I,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
7,J,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,5,
8,J,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
8,I,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
8,H,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,7,
8,G,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,4,
8,F,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2,
8,E,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,5,
8,D,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,3,
8,C,,,1,,3,,,,,,,,3,,,,,,,,,,,,,,,,3,
8,B,,,,2,,,1,,,,,1,,,1,,,,,,,,,,,2,,,4,
8,A,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,6,
9,A,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,
9,B,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,5,
9,C,,,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,5,
9,D,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
9,E,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,
9,F,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
9,G,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
9,H,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,6,
9,I,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
9,J,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
10,J,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,5,
10,I,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,
10,H,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,4,
10,G,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,2,
10,F,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2,
10,E,,,,,,2,,,2,,,,,,,,,,,,,,,,,4,,,4,
10,D,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,6,
10,C,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,7,
10,B,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,
10,A,,,,,,2,,,,,0,,1,,,0,0,0,,0,0,0,0,0,0,,0,,7,
,,,,73,105,257,35,40,2,26,1,0,1,47,1,4,0,0,0,3,0,0,0,0,0,0,6,0,1,432,
Mean,,,,7.3,10.5,25.7,3.5,4,0.2,2.6,0.1,0,0.1,4.7,0.1,0.4,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0.1,43.2,103.4
Rel. Cov.,,,,7.059961315,10.15473888,24.8549323,3.384912959,3.868471954,0.193423598,2.51450677,0.096711799,0,0.096711799,4.545454545,0.096711799,0.386847195,0,0,0,0.290135397,0,0,0,0,0,0,0.580270793,0,0.096711799,41.7794971,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,C-WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,Y,N,1,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,
1,B,Y,N,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,
1,C,Y,N,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,
1,D,Y,N,1,,1,1,1,,,,,,1,,,,,,,,,,,,,,,1,,
1,E,Y,N,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
1,F,Y,N,1,,1,,1,1,1,,,,1,,1,,,,,,,,,,,,,,,
1,G,Y,Y,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,1,,
1,H,Y,N,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
1,I,Y,N,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1,J,Y,N,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
2,J,Y,N,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
2,I,Y,N,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,
2,H,Y,N,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
2,G,Y,Y,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2,F,Y,Y,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
2,E,Y,N,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,
2,D,Y,N,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
