"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1A","1st","","bracharia.lacnantha",NA,"C","S","20080212"
"1A","1st","","lintonia.nutans",NA,"C","S","20080212"
"1A","1st","","pennisetum.mez.",NA,"C","S","20080212"
"1A","1st","","pennisetum.stram.",NA,"C","S","20080212"
"1A","1st","","themeda.triandra",NA,"C","S","20080212"
"1A","1st","","bare",NA,"C","S","20080212"
"1A","1st","","x_2",NA,"C","S","20080212"
"1A","1st","","aristida.kenyensis",NA,"C","S","20080212"
"1A","1st","","bothriochloa",NA,"C","S","20080212"
"1A","1st","","bracharia.3",NA,"C","S","20080212"
"1A","1st","","bracharia.eruciformis",NA,"C","S","20080212"
"1A","1st","","cynodon.dactylon",NA,"C","S","20080212"
"1A","1st","","cynodon.plecto.",NA,"C","S","20080212"
"1A","1st","","cyperus..mariscus.",NA,"C","S","20080212"
"1A","1st","","digitaria.2",NA,"C","S","20080212"
"1A","1st","","digitaria.milanjiana",NA,"C","S","20080212"
"1A","1st","","dinebra.retroflexa",NA,"C","S","20080212"
"1A","1st","","eragrostis",NA,"C","S","20080212"
"1A","1st","","setaria.acro...small.",NA,"C","S","20080212"
"1A","1st","","setaria.sphaec...big.",NA,"C","S","20080212"
"1A","1st","","microchloa.kunthii",NA,"C","S","20080212"
"1A","1st","","sporobolus",NA,"C","S","20080212"
"1A","1st","","tragus.berteronianus",NA,"C","S","20080212"
"1A","1st","","x_3",NA,"C","S","20080212"
"1A","1st","","acalypha.crenata",NA,"C","S","20080212"
"1A","1st","","aerva.lanata",NA,"C","S","20080212"
"1A","1st","","amaranthus.hibridus",NA,"C","S","20080212"
"1A","1st","","aspilia.pluriseta",NA,"C","S","20080212"
"1A","1st","","caralluma",NA,"C","S","20080212"
"1A","1st","","chenopodium.schrad.",NA,"C","S","20080212"
"1A","1st","","corchorus",NA,"C","S","20080212"
"1A","1st","","commelina",NA,"C","S","20080212"
"1A","1st","","commicarpus.pedunc.",NA,"C","S","20080212"
"1A","1st","","conyza",NA,"C","S","20080212"
"1A","1st","","cyathula",NA,"C","S","20080212"
"1A","1st","","dyscoriste.radicans",NA,"C","S","20080212"
"1A","1st","","euphorbia.inaequ.",NA,"C","S","20080212"
"1A","1st","","evolvulus.alsinoides",NA,"C","S","20080212"
"1A","1st","","gutenbergia",NA,"C","S","20080212"
"1A","1st","","hibiscus.flavifolius",NA,"C","S","20080212"
"1A","1st","","hibiscus.trionum",NA,"C","S","20080212"
"1A","1st","","indigofera.brevicalyx",NA,"C","S","20080212"
"1A","1st","","indigofera.schimperi",NA,"C","S","20080212"
"1A","1st","","ipomea.sinensis",NA,"C","S","20080212"
"1A","1st","","k",NA,"C","S","20080212"
"1A","1st","","kyllinger",NA,"C","S","20080212"
"1A","1st","","leucus",NA,"C","S","20080212"
"1A","1st","","lily",NA,"C","S","20080212"
"1A","1st","","melhania.",NA,"C","S","20080212"
"1A","1st","","misopates.orontium",NA,"C","S","20080212"
"1A","1st","","monechima.debile",NA,"C","S","20080212"
"1A","1st","","monsonia.augustifolia",NA,"C","S","20080212"
"1A","1st","","mullugo.nudicaulis",NA,"C","S","20080212"
"1A","1st","","osteospermum",NA,"C","S","20080212"
"1A","1st","","oxygonum.sinuatum",NA,"C","S","20080212"
"1A","1st","","pavonia.patens",NA,"C","S","20080212"
"1A","1st","","pelargonium",NA,"C","S","20080212"
"1A","1st","","phyllanthus.mader.",NA,"C","S","20080212"
"1A","1st","","plectranthus",NA,"C","S","20080212"
"1A","1st","","pollichia.campestris",NA,"C","S","20080212"
"1A","1st","","polygala..l.",NA,"C","S","20080212"
"1A","1st","","polygala.sphenoptera",NA,"C","S","20080212"
"1A","1st","","portulaca.oleracea",NA,"C","S","20080212"
