"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1G","1st","","hibiscus.trionum",NA,"C","S","20090130"
"1G","1st","","indigofera.brevicalyx",NA,"C","S","20090130"
"1G","1st","","indigofera.schimperi",NA,"C","S","20090130"
"1G","1st","","ipomea.sinensis",NA,"C","S","20090130"
"1G","1st","","justicia.dichipteroides",NA,"C","S","20090130"
"1G","1st","","k",NA,"C","S","20090130"
"1G","1st","","kyllinga.sp",NA,"C","S","20090130"
"1G","1st","","leucas.glabrata",NA,"C","S","20090130"
"1G","1st","","leucas.martiniscensis",NA,"C","S","20090130"
"1G","1st","","lily.a",NA,"C","S","20090130"
"1G","1st","","lily.b",NA,"C","S","20090130"
"1G","1st","","lippia.javanica",NA,"C","S","20090130"
"1G","1st","","melhania.spp.",NA,"C","S","20090130"
"1G","1st","","misopates.orontium",NA,"C","S","20090130"
"1G","1st","","mollugo.nudicaulis",NA,"C","S","20090130"
"1G","1st","","monechima.debile",NA,"C","S","20090130"
"1G","1st","","monsonia.augustifolia",NA,"C","S","20090130"
"1G","1st","","ocimum.sp",NA,"C","S","20090130"
"1G","1st","","osteospermum.vaillantii",NA,"C","S","20090130"
"1G","1st","","oxygonum.sinuatum",NA,"C","S","20090130"
"1G","1st","","pavonia.patens",NA,"C","S","20090130"
"1G","1st","","pelargonium.alchemilloides",NA,"C","S","20090130"
"1G","1st","","pentanisia.ouranogyne",NA,"C","S","20090130"
"1G","1st","","phyllanthus.maderaspatensis",NA,"C","S","20090130"
"1G","1st","","plectranthus.spp",NA,"C","S","20090130"
"1G","1st","","pollichia.campestris",NA,"C","S","20090130"
"1G","1st","","polygala..l.",NA,"C","S","20090130"
"1G","1st","","polygala.sphenoptera",NA,"C","S","20090130"
"1G","1st","","portulaca.oleracea",NA,"C","S","20090130"
"1G","1st","","portulaca.quadrifida",NA,"C","S","20090130"
"1G","1st","","pseudognaphalium..helichrysum.glumaceum.",NA,"C","S","20090130"
"1G","1st","","psilotrichum.schimperi",NA,"C","S","20090130"
"1G","1st","","rhinacanthus.ndorensis",NA,"C","S","20090130"
"1G","1st","","rhynchosia.holstii",NA,"C","S","20090130"
"1G","1st","","schkuhria.pinnata",NA,"C","S","20090130"
"1G","1st","","sida.2",NA,"C","S","20090130"
"1G","1st","","sida.cuneifolia",NA,"C","S","20090130"
"1G","1st","","solanum.incanum",NA,"C","S","20090130"
"1G","1st","","solanum.indicum",NA,"C","S","20090130"
"1G","1st","","tribulus.terrestris",NA,"C","S","20090130"
"1G","1st","","u",NA,"C","S","20090130"
"1G","1st","","w",NA,"C","S","20090130"
"1G","1st","","x_4",NA,"C","S","20090130"
